College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Iit  Bhubaneswar Nirf Engineering 2025,"58806327 (Five Crore Eighty Eight Lakh Six Thousand Three
Hundred Twenty Seven)","83581192 (Eight Crore Thirty Five Lakh Eighty One Thousand
One Hundred Ninety Two)","2198894 (Twenty One Lakh Ninety Eight Thousand Eight
Hundred Ninety Four)","26291158 (Two Crore Sixty Two Lakh Ninety One Thousand
One Hundred Fifty Eight)","51297728 (Five Crore Twelve Lakh Ninety Seven Thousand
Seven Hundred Twenty Eight)","65953715 (Rupees Six Crore Fifty Nine Lakh Fifty Three
Thousand Seven Hundred Fifteen Only)","84957225 (Rupees Eight Crore Forty Nine Lakh Fifty Seven
Thousand Two Hundred Twenty Five Only)","19118290 (Rupees One Crore Ninety One Lakh Eighteen
Thousand Two Hundred Ninety Only)","77337956 (Rupees Seven Crore Seventy Three Lakh Thirty
Seven Thousand Nine Hundred Fifty Six Only)","49849095 (Rupees Four Crore Ninety Eight Lakh Forty Nine
Thousand Ninety Five Only)","96036283 (Nine Crore Sixty Lakhs Thirty Six Thousand Two
Hundred Eighty Three)","73151007 (Seven Crore Thirty One Lakh Fifty One Thousand
Seven)","22133973 (Two Crore Twenty One Lakhs Thirty Three
Thousand Nine Hundred Seventy Three)","10095880 (One Crore Ninety Five Thousand Eight Hundred
Eighty)","44266661 (Four Crore Forty Two Lakh Sixty Six Thousand Six
Hundred Sixty One)","777904322 (Seventy Seven Crore Seventy Nine Lakh Four
Thousand Three Hundred Twenty Two)","820515583 (Eighty Two Crore Five Lakh Fifteen Thousand
Five Hundred Eighty Three)","14004776 (One Crore Forty Lakh Four Thousand Seven
Hundred Seventy Six)","581795856 (Rupees Fifty Eight Crore Seventeen Lakh Ninety
Five Thousand Eight Hundred Fifty Six Only)","560022071 (Rupees Fifty Six Crore Twenty Two Thousand
Seventy One only)","7116896 (Rupees Seventy One Lakh Sixteen Thousand Eight
Hundred Ninety Six Only)","481787058 (Forty Eight Crore Seventeen Lakh Eighty Seven
Thousand Fifty Eight)","489765903 (Forty Eight Crore Ninety Seven Lakh Sixty Five
Thousand Nine Hundred Three)","3978935 (Thirty Nine Lakh Seventy Eight Thousand Nine
Hundred Thirty Five)"
Iit Bhilai  Nirf Overall 2025,"25411092 (Two Crore Fifty Four lakh Eleven Thousand and
Ninety Two only)","513950483 (Fifty One Crore Thirty Nine Lakh Fifty Thousand
four hundred eighty three Only)","71825405 (Seven Crore Eighteen Lakh Twenty Five thousand
Four hundred five only)",0 (Zero),"2255062639 (Two Twenty Five Crore Fifty Lakh Sixty Two
Thousand Twenty Six Hundred Thirty Nine Only)","24674941 (Two Crore Fourty Six lakh Seventy Four Thousand
Nine Hundred fourty one only)","371247590 (Thirty Seven Crore Twelve Lakh fourty seven
thousand five hundred ninety only)","71129164 (Seven Crore Eleven Lakh twenty nine thousand
one hundred sixty four only)",0 (Zero),"6374110895 (Six hundred Thirty Seven Crore fourty one lakh
ten thousand eight hundred ninety five only)","20114426 (Two Crore eleven lakh four thousand twenty six
only)","135743724 (Thirteen crore Fifty Seven lakh Fouty Three
thousand Seven hundred Twenty Four)","18859967 (Rupees One Crores Eighty Eight Lacs Fifty Nine
Thousand Nine Hundred Sixty Seven Only)",0 (Zero),"2488161963 (Two fourty eight crore eighty one lakh sixty one
thousand nine hundred sixty three )","354385567 (Thirty five Crore Forty Three Lakh Eighty Five
Thousand Five Hundred Sixty Seven Only)","267955372 (Twenty Six Crore Seventy Nine Lakh Fifty Five
Thousand Three Hundred Seventy Two Only)","35679752 (Three Crore Fifty Six Lakh Seventy Nine Thousand
Seven Hundred Fifty Two Only)","240135927 (Twenty four crore one lakh thirty five thousand
nine hundred twenty seven only)","123923177 (Twelve crore thirty nine lakh twenty three
thousand one hundred seventy seven only)","5139631 (Fifty one lakh thirty nine thousand six hundred thirty
one only)","223044425 (Twenty two crore Thirty lakh Forty Four Thousand
Four hundred Twenty Five)","101662874 (Ten Crore sixteen lakh sixty two thousand eight
hundred seventy four)",8000000 (Eighty Lakh)
Iit Bombay Nirf Engineering 2025,"177105628 (Seventeen Crore Seventy One Lakh Five
Thousand Six Hundred and Twenty Eight Only)","2817100804 (Two Hundred Eighty One Crore Seventy One
Lakh Eight Hundred and Four Only)",0 (Zero),0 (zero),"96499509 (Nine Crore Sixty Four Lakh Ninety Nine Thousand
Five Hundred and Nine Only)","60655438 (Six Crore Six Lakh Fifty Five Thousand Four
Hundred and Thirty Eight Only)","3091659479 (Three Hundred Nine Crores Sixteen Lakhs Fifty
Nine Thousand Four Hundred and  Seventy Nine Only)","82044432 (Eight Crore Twenty Lakhs Forty Four Thousand
Four Hundred Thirty Two Only)",0 (zero),"173684513 (Seventeen Crore Thirty Six Lakhs Eighty Four
Thousand Five Hundred and Thirteen Only)","395211540 (Thirty Nine Crore Fifty Two Lakh Eleven Thousand
Five Hundred Forty Only)","859086724 (Eighty Five Crore Ninety Lakh Eighty Six
Thousand Seven Hundred and Twenty Four Only)","99980000 (Nine Crore Ninety Nine Lakh And Eighty Thousand
Only)",0 (Zero),"80795586 (Eight Crore Seven Lakhs Ninety Five Thousand
Five Hundred And Eighty Six Only)","8523975101 (Eight Hundred Fifty Two Crore Thirty Nine Lakh
Seventy Five Thousand One Hundred and One Only)","4688514494 (Four Hundred Sixty Eight Crore Eighty Five Lakh
Fourteen Thousand Four Hundred and Ninety Four Only)","247557830 (Twenty Four Crore Seventy Five Lakh Fifty Seven
Thousand Eight Hundred and Thirty Only)","6581612412 (Six Hundred Fifty Eight Crore Sixteen Lakhs
Twelve Thousand Four Hundred and Twelve Only)","3380913236 (Three Hundred and Thirty Eight Crores Nine
Lakhs Thirteen Thousand Two Hundred and Thirty Six Only)","22683371 (Two Crore Twenty Six Lakhs Eighty Three
Thousand Three Hundred and Seventy One Only)","6070571682 (Six Hundred And Seven Crore Five Lakh
Seventy One Thousand Six Hundred And Eighty Two)","2978397843 (Two Hundred And Ninety Seven Crore Eighty
Three Lakh Ninety Seven Thousand Eight Hundred And Forty
Three)","9177625 (Ninety One Lakhs Seventy Seven Thousand Six
Hundred Twenty Five Only)"
Iit Chennai Nirf Overall 2025,"298830979 (Twenty nine crores Eighty eight Lakhs Thirty
Thousand Nine Hundred and Seventy Nine)","4977872845 (Four Hundred Ninety Seven Crores Seventy
Eight Lakhs Seventy Two Thousand Eight Hundred and Forty
Five)","15221031 (One Crore Fifty Two Lakhs Twenty One Thousand
and Thirty One)","15922736 (One Crore Fifty Nine Lakhs Twenty Two Thousand
Seven Hundred and Thirty Six)","854156496 (Eighty Five Crore Forty One Lakhs Fifty Six
Thousand Four Hundred and Ninety Six)","191765768 (Nineteen Crores Seventeen Lakhs Sixty Five
Thousand Seven Hundred and Sixty Eight)","5114315121 (Five hundred eleven crore forty three lakh fifteen
thousand one hundred twenty one)","35946386 (Three Crore Fifty Nine Lakhs Forty Six Thousand
Three Hundred and Eighty Six)","7825561 (Sevety Eight Lakh Twenty Five Thousand Five
Hundred and Sixty One)","850240751 (Eighty Five Crore Two Lakhs Forty Thous and
Seven Hundred and Fifty One)","232093405 (Twenty Three Crore Twenty Lakhs Ninety Three
Thousand Four Hundred and Five)","4475051053 (Four Hundred and Forty Seven Crore Fifty Lakhs
Fifty One Thousand and Fifty Three)","16830244 (One Crore Sixty Eight Lakhs Thirty Thousand Two
Hundred and Forty Four)","53944831 (Five Crore Thirty Nine Lakhs Forty Four Thousand
Eight Hundred and Thirty One)","1066955804 (One Hundred and Six Crores Sixty Nine lakhs
Fifty Five Thousand Eight Hundred and Four)","6770455954 (Six Hundered and Seventy Seven Crore Four
Lakhs Fifty Five Thousand Nine Hundred and Fifty Four)","9997419009 (Nine Hundred and Ninety Nine Crore Seventy
Four Lakhs Nineteen Thousand and Nine)","128805662 (Twelve Crore Eighty Eight Lakhs Five Thousand
Six Hundred and Sixty Two)","5424786320 (Five hundred and forty two crore forty seven
lakhs eighty six thousand three hundred and twenty)","8669739543 (Eight hundred sixty six crore Ninety Seven lakh
Thirty Nine  thousand Five hundred Forty Three)","151561504 (Fifteen Crore Fifteen Lakhs Sixty One Thousand
Five Hundred and Four)","6565874098 (Six Hundred and Fifty Six Crore Fifty Eight Lakhs
Seventy Four Thousand and Ninety Eight)","7557097089 (Seven Hundred and Fifty Five Crore Seventy
Lakhs Ninety Seven Thousand and Eighty Nine)","108400586 (Ten Crore Eighty Four Lakhs Five Hundred and
Eighty Six)"
Iit Delhi Nirf Engineering 2025,187600000 (Eighteen Crore Seventy Six Lakhs),"2642131575 (Two hundred Sixty Four Crore Twenty One
Lakhs Thirty One Thousand Five Hundred Seventy Five)","5271461 (Fifty Two Lakhs Seventy One thousand Four
Hundred Sixty One)","3490210 (Thirty Four Lakhs Ninety Thousand Two Hundred
Ten)",131400000 (Thirteen Crore Fourteen Lakhs),"187521973 (Eighteen Crore Seventy Five Lakh Twenty One
Thousand Nine Hundred Seventy Three)","2615655221 (Two Hundred Sixty One Crore Fifty Six Lakh Fift
Five Thousand Two Hundred Twenty One )","2429151 (Twenty Four Lakh Twenty Nine Thousand One
Hundred Fifty One )","2124700 (Twenty One Lakh Twenty Four Thousand Seven
Hundred)","2857555221 (Two Hundred Eighty Five Crore Seventy Five
Lakh Fifty Five Thousand Two Hundred Twenty One)","191213021 (Nineteen Crore Twelve Lakh Thirteen Thousand
Twenty One)","2374297516 (Two Hundred Thirty Seven Crore Forty Two Lakh
Ninety Seven Thousand Five Hundred Sixteen)","44456874 (Four Crore Forty Four Lakh Fifty Six Thousand
Eight Hundred Seventy Four)","43928631 (Four Crore Thirty Nine Lakh Twenty Eight
Thousand Szix Hundred Thirty One)","1476113707 (One Hunred Forty Seven Crore Sixty One Lakh
Thirteen Thousand Seven Hundred Seven)","7095220673 (Seven Hundred Nine Crore Fifty Two Lakhs
Twenty Thousand Six Hundred Seventy Three)","3426681450 (Three Hundred Forty Two Crore Sixty Six Lakhs
Eighty One Thousand Four Hundred Fifty)","208733379 (Twenty Crore Eighty Seven Lakhs Thirty three
Thousand Three Hundred Seventy Nine)","6929719466 (Six Hundred Ninety Two Crore Ninety Seven
Lakh Nineteen Thousand Four Hundred Sixty Six)","3957679475 (Three Hundred Ninety Five Crore Seventy Six
Lakh Seventy Nine Thousand Four Hundred Seventy Five)","183435548 (Eighteen Crore Thirty Four Lakh Thirty Five
Thousand Five Hundred Forty Eight)","3991424049 (Three Hundred Ninety Nine Crore Fourteen Lakh
Twenty Four Thousand Forty Nine)","3710748858 (Three Hundred Seventy One Crore Seventy Four
Lakh Eight Thousand Eight Hundred Fifty Eight )","4904145 (Forty Nine Lakh Four Thousand One Hundred Forty
Five)"
Iit Dharwad Nirf Engineering 2025,"49871820 (Four Crores Ninety Eight Lakh Seventy One
Thousand Eight Hundred Twenty Only)","368395935 (Thirty Six Crores Eighty Three Lakh Ninety Five
Thousand Nine Hundred Thirty Five Only)","2865058 (Twenty Eight Lakh Sixty Five Thousand Fifty Eight
Only)",,"430534684 (Forty Three Crores Five Lakh Thirty Four
Thousand Six Hundred Eighty Four Only)","2030499 (Twenty Lakh Thirty Thousand Four Hundred Ninety
Nine Only)","66387287 (Six Crore Sixty Three Lakh Eighty Seven Thousand
Two Hundred Eighty Seven Only)","9146560 (Ninety One Lakh Forty Six Thousand Five Hundred
Sixty Only)",,"7712328 (Seventy Seven Lakh Twelve Thousand Three
Hundred Twenty Eight Only)","26177635 (Two Crore Sixty One Lakh Seventy Seven
Thousand Six Hundred Thirty Five)","23039441 (Two Crore Thirty Lakh Thirty Nine Thousand Four
Hundred Forty One)","9589546 (Ninety Five Lakh Eighty Nine Thousand Five
Hundred Forty Six)",,"12974707 (One Crore Twenty Nine Lakh Seventy Four
Thousand Seven Hundred Seven)","356859562 (Thirty Five Crores Sixty Eight Lakh Fifty Nine
Thousad Five Hundred Sixty Two Only)","292806819 (Twenty Nine Crores Twenty Eight Lakh Six
Thousand Eight Hundred Nineteen Only)","5980923 (Fifty Nine Lakh Eighty Thousand Nine Hundred
Twenty Three Only)","213163355 (Twenty One Crore Thirty One Lakh Sixty Three
Thousand Three Hundred Fifty Five Only)","92315806 (Nine Crore Twenty Three Lakh Fifteen Thousand
Eight Hundred Six Only)","674258 (Six Lakh Seventy Four Thousand Two Hundred Fifty
Eight Only)","176862332 (Seventeen Crore Sixty Eight Lakh Sixty Two
Thousand Three Hundred Thirty Two)","66968117 (Six Crore Sixty Nine Lakh Sixty Eight Thousand
One Hundred Seventeen)",510025 (Five Lakh Ten Thousand Twenty Five)
Iit Gandhinagar Nirf Engineering 2025,"66119918 (Six Crore Sixty one Lakh Nineteen Thousand Nine
Hundred Eighteen only)","199890174 (Nineteen Crore Ninety Eight Lakh Ninety
Thousand One Hundred Seventy Four only)","6185036 (Sixty One Lakh Eighty Five Thousand Thirty Six
only)",,"28334309 (Two Crore Eighty Three Lakh Thirty Four Thousand
Three Hundred Nine only)","31339902 (Three Crore Thirteen Lakh Thirty nine Thousand
Nine Hundred And Two)","216414304 (Twenty one Crore Sixty four Lakh Fourteen
Thousand Three Hundred And Four)","1787382 (Seventeen Lakh Eighty seven Thousand Three
Hundred And Eighty two)",,"13052790 (One Crore Thirty Lakh Fifty two Thousand Seven
Hundred And Ninety)","25595838 (Two crore fifty five lakh ninety five thousand eight
hundred thirty eight )","362655942 (Thirty Six Crore Twenty Six Lakh Fifty Five
Thousand Nine Hundred Forty Two )","9813209 (Ninety Eight Lakh Thirteen Thousand Two Hundred
Nine )",,"16597999 (One Crore Sixty Five Lakh Ninety Seven Thousand
Nine Hundred Ninety Nine )","896246515 (Eighty Nine Crore Sixty Two Lakh Forty Six
Thousand Five Hundred Fifteen only)","847764679 (Eighty Four Crore Seventy Seven Lakh Sixty Four
Thousand Six Hundred Seventy Nine only)","32598864 (Three Crore Twenty Five Lakh Ninety Eight
Thousand Eight Hundred Sixty Four only)","790641159 (Seventy nine Crore Six Lakh Forty one Thousand
One Hundred And Fifty nine)","563015438 (Fifty six Crore Thirty Lakh Fifteen Thousand Four
Hundred And Thirty eight)","44785268 (Four Crore Forty seven Lakh Eighty five Thousand
Two Hundred And Sixty eight)","668378143 (Sixty Six Crore Eighty Three Lakh Seventy Eight
Thousand One Hundred Forty Three )","628568958 (Sixty Two Crore Eighty Five Lakh Sixty Eight
Thousand Nine Hundred Fifty Eight )","5639232 (Fifty Six Lakh Thirty Nine Thousand Two Hundred
Thirty Two )"
Iit Goa Nirf Engineering 2025,"2292595 (Twenty Two Lakh Ninety Two Thousand Five
Hundred and Ninety Five)","50784525 (Five Crore Seven Lakh Eighty Four Thousand Five
Hundred and Twenty Five)","785670 (Seven Lakh Eighty Five Thousand Six Hundred and
Seventy)",,"5246854 (Fifty Two Lakh Forty Six Thousand Eight Hundred
and Fifty Four)","47892616 (Four Crore Seventy Eight Lakh Ninety Two
Thousand Six Hundred and Sixteen)","104971898 (Ten Crore Forty Nine Lakh Seventy One
Thousand Eight Hundred and Ninety Eight)","8864119 (Eighty Eight Lakh Sixty Four Thousand One Hundred
and Nineteen)",,"6691545 (Sixty Six Lakh Ninety One Thousand Five Hundred
and Forty Five)","13537874 (One Crore Thirty Five Lakh Thirty Seven Thousand
Eight Hundred and Seventy Four)","123802181 (Twelve Crore Thirty Eight Lakh Two Thousand
One Hundred and Eighty One)","6024316 (Sixty Lakh Twenty Four Thousand Three Hundred
and Sixteen)",,"2850916 (Twenty Eight Lakh Fifty Thousand Nine Hundred and
Sixteen)","179911036 (Seventeen Crore Ninety Nine Lakh Eleven
Thousand and Thirty Six)","161205165 (Sixteen Crore Twelve Lakh Five Thousand One
Hundred and Sixty Five )","6369794 (Sixty Three Lakh Sixty Nine Thousand Seven
Hundred and Ninety Four)","163913416 (Sixteen Crore Thirty Nine Lakh Thirteen Thousand
Four Hundred and Sixteen)","160209560 (Sixteen Crore Two Lakh Nine Thousand Five
Hundred and Sixty )","3595861 (Thirty Five Lakh Ninety Five Thousand Eight
Hundred and Sixty One)","148333682 (Fourteen Crore Eighty Three Lakh Thirty Three
Thousand Six Hundred and Eighty Two)","133269698 (Thirteen Crore Thirty Two Lakh Sixty Nine
Thousand Six Hundred and Ninety Eight )","1424595 (Fourteen Lakh Twenty Four Thousand Five Hundred
and Ninety Five)"
Iit Guwahati Nirf Engineering 2025,"144888953 (Fourteen crore forty eight lakhs eighty eight
thousand and nine hundred and fifty three )","511768358 (Fifty one crore seventeen lakhs sixty eight
thousand three hundred and fifty eight)","24626782 (Two crore forty six lakhs twenty six thousand seven
hundred and eighty two)",0 (Zero),"494657138 (Forty nine crore forty six lakhs fifty seven
thousand one hundred and thirty eight)","212549726 (Twenty one crore twenty five lakh forty nine
thousand seven hundred twenty six)","570399409 (Fifty seven crore three lakh ninety nine  thousand
four hundred ninel)","15231760 (One crore fifty two lakh thirty two thousabd seven
sixty)",0 (Zero),"678150953 (Sixty seven crore eighty one lakh fifty thousand
nine hundred fifrt three)","122976870 (Twelvw crore twenty nine lakh seventy six
thousand eight hundred ten )","317904320 (Thirty one crore seventy nine lakh four thousand
three hundred twenty)","14081657 (One crore forty lakh eight one thousand six hundred
fifty seven)",0 (Zero),"689764913 (Sixty eight crore ninety seven lakh sixty four
thousand nine hundred thirteen)","1987664697 (One ninety eight crore seventy six lakhs sixty
four thousand six hundred and ninety seven )","1323045038 (One hundred thirty two crore thirty lakhs forty five
thousand thirty eight only)","55123615 (Five crore fifty one lakh twenty three thousand six
hundred and fifteen)","1835256296 (One eighty three crore fifty two lakh fifty six
thousand two hundred ninety six)","1026826502 (One hundred two crore sixty eight lakh twenty six
thousand five hundred two)",85410030 (Eight crore fifty four lakh ten thousand thirty),"1748454897 (One seventy four crore  eighty four lakh fifty four
thousand eight hundred ninety seven)","810328532 (Eighty one crore three lakh twenty eight thousand
five hundred thirty two)","12338782 (One crore twenty three lakh thirty eight thousand
seven hundred eighty two)"
Iit Hyderabad Nirf Engineering 2025,"28995305 (Two Crores Eighty Nine Lakhs Ninety Five
Thousand Three Hundred and Five Only)","337408737 (Thirty Three Crores Seventy Four Lakhs Eight
Thousand Seven Hundred and Thirty Seven Only)",0 (Zero),0 (Zero),"400422417 (Forty Crores Four Lakhs Twenty Two Thousand
Four Hundred and Seventeen Only)","54273351 (Five crore forty two lakh seventy three thousand
three hundred fifty one)","354297902 (Thirty Five Crore Forty Two Lakh Ninety Seven
Thousand Nine Hundred Two )",0 (ZERO),0 (ZERO),"222495370 (Twenty Two Crore Twenty Four Lakh Ninety Five
Thousand Three Hundred Seventy )","35657429 (Three Crore Fifty Six Lakh Fifty Seven Thousand
Four Hundred And Twenty Nine)","360785745 (Thirty Six Crore Seven Lakh Eighty Five Thousand
Seven Hundred And Forty Five)",600000 (Six lakhs),70092 (Seventy thousand ninety two rupees only),"135612446 (Thirteen Crore Fifty Six Lakh Twelve Thousand
Four Hundred And Forty Six)","1450713808 (One Hundred and Forty Five Crores Seven
Lakhs Thirteen Thousand Eight Hundred and Eight Only)","1398202506 (One Hundred and Thirty Nine Crores Eighty Two
Lakhs Two Thousand Five Hundred and Six Only)","62064882 (Six Crores Twenty Lakhs Sixty Four Thousand
Eight Hundred and Eighty Two Only)","2044754274 (Two Hundred and Four  Crore Forty seven lakh
Fifty four thousand two hundred and seventy four only)","1122709987 (One Hundred Twelve Crore Twenty seven lakhs
Nine thousand nine hundred and Eighty Seven)","38926352 (Three Crore Eighty Nine Lakh Twenty Six
Thousand Three Hundred Fifty Two )","1745821591 (One Hundred And Seventy Four Crore Fifty Eight
Lakh Twenty One Thousand Five Hundred And Ninety One)","754647920 (Seventy six crore forty six lakh seven thoussad
nine hundred and twenty)","2433745 (Twenty Four Lakh Thirty Three Thousand Seven
Hundred And Forty Five)"
