College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
"Iiit Design & Manufacturing, Jabalpur Nirf Overall 2025","32443988 (Three Crore Twenty Four Lakh Forty Three
Thousand Nine Hundred Eighty Eight )","7755369 (Seventy Seven Lakh Fifty Five Thousand Three
Hundred and Sixty Nine)","417499 (Four Lakh seventeen thousand four hundred ninety
nine)","48008322 (Four Crore Eighty Lakh Eight Thousand Three
Hundred Twenty Two)","3515257 (Thirty Five Lakh Fifteen Thousand Two Hundred
Fifty Seven )","16620026 (One Crore Sixty Six lakh Twenty Thousand Twenty
Six)","17948008 (One crore seventy nine lakh forty eight thousand
eight)","4804264 (Forty Eight Lakh four thousand two hundred sixty
four )",0 (zero),"68372779 (Six crore eighty three lakh seventy two thousand
seven hundred seventy nine)","16063553 (One Crore Sixty Lakh Sixty Three Thousand Five
Hundred Fifty Three )","14353031 (One Crore Forty Three Lakh Fifty Three Thousand
Thirty One)","953291 (Nine Lakh Fifty Three Thousand Two Hundred Ninety
One )",0 (ZERO),"35283740 (Three Crore Fifty Two Lakh Eighty Three Thousand
Seven Hundred Forty )","28508366 (Two Crore Eighty Five Lakh Eight Thousand Three
Hundred and Sixty Six)","270738350 (Twenty Seven Crore Seven Lakh Thirty Eight
Thousand Three Hundred Fifty )","2045994 (Twenty Lakh Forty Five Thousand Nine Hundred and
Ninety Four)","308211604 (Thirty crore eighty two lakh eleven thousand six
hundred four)","261275793 (Twenty six crore twelve lakh seventy five thousand
seven hundred ninety three)","3875372 (Thirty eight lakh seventy five thousand three hundred
seventy two)","234986459 (Twenty Three Crore Forty Nine Lakh Eighty Six
Thousand Four Hundred Fifty Nine)","206099666 (Twenty Crore Sixty Lakh Ninety Nine Thousand
Six Hundred Sixty Six )","3131108 (Thirty One Lakh Thirty One Thousand One Hundred
Eight)"
Iiit Pune Engineering 2025,"16149 (Rupees Sixteen Thousand One Hundred Fourty Nine
Only )",88500 (Rupees Eighty Eight Thousand Five Hundred  Only ),0 (Zero),,"493607 (Rupees Four Lakh Ninety Three Thousand Six
Hundred Seven Only )",0 (Zero),0 (Zero),0 (Zero),,"14685537 (One crore forty six lakh Eighty five thousand five
hundred thirty seven)",0 (Zero),"415391 (Four Lakh Fifteen Thousand Three Hundred Ninety
One )",0 (Zero),,"949187 (Nine Lakh Forty Nine Thousand One hundred and
Eighty Seven)","43619029 (Rupees Four Crore Thirty Six Lakh Nineteen
Thousand Twenty Nine Only )","96947263 (Rupees Nine Crore Sixty Nine Lakh Fourty Seven
Thousand Two Hundred Sixty Three Only )",0 (Zero),"39977295 (Three Crore Ninety Nine Lakh Seventy Seven
Thousand Two Hundred Nine Five Only)","74874265 (Seven Crore Forty Eight Lakh Seventy Four
Thousand Two Hundred Sixty Five Only)",0 (Zero),"24136665 (Two Crore Forty One Lakh Thirty Six Thousand Six
Hundred Sixty Five )","13497689 (One Crore Thirty Four Lakh Ninety Seven
Thousand Six Hundred Eighty Nine )",484026 (Four Lakh Eighty  Four Thousand and Twenty Six)
"Iiit, Design & Manufacturing, Kurnool Nirf Overall 2025","3625608 (Thirty Six lakhs Twenty Five thousand Six hundred
and eight rupees only)","49110981 (Four crores ninety one Lakhs  ten thousand nine
hundred eighty one only)","27343607 (Two crore seventy three lakhs forty three thousand
six hundred seven only)",0 (Zero),"1593925 (Fifteen lakhs ninety three thousand nine hundred
twenty five only)","3105146 (Thirty One Lakh Five Thousand One Hundred and
Forty Six Only)","31705713 (Three Crore Seventeen Lakh Five Thousand Seven
Hundred and Thirteen only)","14181275 (One Crore Forty One Lakh Eighty One Thousand
Two Hundred and Seventy Five only)","410235 (Four lakhs ten thousand two hundred and thirty five
only)","21028795 (Two Crore Ten Lakh Twenty Eight Thousand Seven
Hundred Ninety Five only )","2698153 (Twenty six lakhs ninety eight thousand one hundred
and fifty three only)","19034856 (One crore ninety lakhs thirty four thousand eight
hundred and fifty six only)","4437909 (Forty four lakhs thirty seven thousand nine hundred
and nine only)","591704 (Five lakhs ninety one thousand seven hundred and
four only)","11612173 (One crore sixteen lakhs twelve thousand one
hundred and seventy three only)","99073279 (Nine crore ninety lakhs seventy three thousand two
hundred seventy nine only)","126689468 (Twelve crore sixty six lakhs eighty nine thousand
four hundred sixty eight only)","5562840 (Fifty five lakhs sixty two thousand eight hundred forty
only)","84721804 (Eight Crores Forty Seven Lakhs Twenty One
Thousand Eight Hundred and Four Only)","26466096 (Two Crores Sixty Four lakhs Sixty Six Thousand
Ninety Six Only)","666566 (Six Lakks Sixty Six Thousand Five Hundred and Sixty
Six Only)","65682989 (Six crore fifty six lakhs eighty two thousand nine
hundred and eighty nine only)","11048975 (One crore ten lakhs forty eight thousand nine
hundred and seventy five only)",80385 (Eighty thousand three hundred and eighty five only)
"Iiit, Guwahati Nirf Engineering 2025","2148844 (Twenty one lakh forty eight thousand eight hundred
forty four)",3006205 (Thirty lakh six thousand two hundred five),0 (Zero),0 (Zero),"3561696 (Thirty five lakh sixty one thousand six hundred ninety
six)",901670 (Nine lakhs one thousand six hundred and seventy),"1932144 (Nineteen lakhs thirty two thousand one hundred and
forty four)",0 (Zero),0 (zero),1913062 (Nineteen lakhs thirteen thousand and sixty two),25637 (Twenty five thousand six hundred and thirty seven),616536 (Six lakh sixteen thousand five hundred and thirty six),0 (Zero),0 (Zero),"355596 (Three lakh fifty five thousand five hundred and ninety
six)","153321982 (Fifteen crore thirty three lakh twenty one thousand
nine hundred eighty two)","36107526 (Three crore sixty one lakh seven thousand five
hundred twenty six)",0 (Zero),"136691031 (Thirteen crores sixty six lakhs ninety one thousand
and thirty one)","13163737 (One crore thirty one lakhs sixty three thousand
seven hundred and thirty seven)","958819 (Nine lakh fifty eight thousand eight hundred and
nineteen)","117848083 (Eleven crore seventy eight lakh forty eight
thousand and eighty three)","9369613 (Ninety three lakh sixty nine thousand six hundred
and thirteen)",0 (Zero)
"Iiit, Kalyani Nirf Engineering 2025",5675 (Five Thousand six hundred seventy five),1932858 (0),0 (Zero),,"217431433 (Twenty one crore seventy four lakh thirty one
thousand four hundred thirty three )","23842 (Twenty three thousand eight hundred and forty two
only)","1455886 (Forteen lakhs fifty five thousand eight hundred and
eighty six only)",0 (Zero),,"3029671 (Thirty Lakhs twenty nine thousand six hundred
seventy one only)",5852 (Five thousand eight hundred fifty two only),469096 (Four lakhs sixty nine thousand ninety six),0 (Zero),,0 (Zero),"65113099 (Six Crore Fifty One Lakhs Thirteen Thousand and
Ninety Nine)","19338672 (One crore ninety three lakh thirty eight thousand six
hundred seventy two)",0 (Zero),"52325360 (Five crore twenty three lakhs twenty five thousand
three hundred and sixty only)","4340226 (Forty three lakhs forty thousand two hundred and
twenty six only)",0 (Zero),"42789050 (Four crore Twenty Seven Lakhs Eight Nine
thousand and fifty )",2276000 (Twenty two lakh seventy six thousand only ),0 (Zero)
"Iiit, Kota Nirf Overall 2025",29415 (Twenty Nine Thousand Four Hundred Fifteen),"36374296 (Three Crore Sixty Three Lakh Seventy Four
Thousand Two Hundred Ninety Six)",463909 (Four Lakh Sixty Three Thousand Nine Hundred Nine),0 (Zero),"13386181 (One Crore Thirty Three Lakh Eighty Six Thousand
One Hundred Eighty One)",270311 (Two Lakh Seventy Thousand Three Hundred Eleven),"123173 (One Lakh Twenty Three Thousand One Hundred
Seventy Three)",1187200 (Eleven Lakh Eighty Seven Thousand Two Hundred),0 (Zero),50999 (Fifty Thousand Nine Hundred Ninety Nine),94760 (Ninety Four Thousand Seven Hundred Sixty),109480 (One Lakh Nine Thousand Four Hundred Eighty),"247856 (Two Lakh Forty Seven Thousand Eight Hundred Fifty
Six)",0 (Zero),372020 (Three Lakh Seventy Two Thousand Twenty),"32174276 (Three Crore Twenty One Lakh Seventy Four
Thousand Two Hundred Seventy Six)","47845849 (Four Crore Seventy Eight Lakh Forty Five
Thousand Eight Hundred Forty Nine)","482567 (Four Lakh Eighty Two Thousand Five Hundred Sixty
Seven)","35138987 (Three Crore Fifty One Lakh Thirty Eight Thousand
Nine Hundred Eighty Seven)","7424629 (Seventy Four Lakh Twenty Four Thousand Six
Hundred Twenty Nine)","3166741 (Thirty One Lakh Sixty Six Thousand Seven Hundred
Forty One)","28535236 (Two Crore Eighty Five Lakh Thirty Five Thousand
Two Hundred Thirty Six)","10234499 (One Crore Two Lakh Thi rty Four Thousand Four
Hundred Ninety Nine)","715523 (Seven Lakh Fifteen Thousand Five Hundred Twenty
Three)"
"Iiit, Kancheepuram Engineering Nirf 2025","4545617 (Forty Five Lakh Forty Five Thousand Six Hundred
Seventeen only )","104338105 (ten crore forty three lakh thirty eight thousand one
hundred five Rupees only)",0 (Zero),,"18514395 (one crore eighty five lakh fourteen thousand three
hundred ninety five Rupees  only)","9895645 (Ninety Eight Lakh Ninety Five Thousand Six
Hundred and Forty Five only)","77469835 (Seven Crores Seventy Four lakhs Sixty Nine
thousand Eight Hundred and Thirty Five only)",0 (Zero),,"16251041 (One Crore Sixty Two Lakhs Fifty one Thousand
Forty One only)","9987575 (Ninety nine lakhs eighty seven thousand five
hundred and seventy five)","33646154 (Three crores thirty six lakhs forty six thousand one
hundred and fifty four)",0 (zero),,"7629250 (Seventy six lakhs twenty nine thousand two hundred
and fifty)","230526981 (Twenty Three Crore Five Lakh Twenty Six
Thousand Nine Hundred Eighty One  only)","133611028 (thirteen crore thirty six lakh eleven thousand
twenty eight Rupees only)","1919365 (nineteen lakh nineteen thousand three hundred sixty
five Rupees only)","202148835 (Twenty Crores Twenty one lakhs Forty Eight
Thousand Eight hundred and Thirty Five only)","146406078 (Fourteen Crores Sixty Four Lakhs Six Thousand
Seventy Eight only)","2499524 (Twenty Four lakhs Ninety Nine Thousand Five
Hundred and Twenty Four Only)","162262000 (Sixteen crores twenty two lakhs and sixty two
thousand)",103200000 (Ten crores and thirty two lakhs),"380199 (Three lakhs eighty thousand and one hundred and
ninety nine)"
"Iiit, Kottayam Nirf Overall 2025","2619296 (Twenty Six Lakhs Nineteen Thousands Two
Hundred and Ninety Six)","5725862 (Fifty Seven Lakhs Twenty Five Thousands Eight
Hundred and Sixty Two)",0 (Zero),2500000 (Twenty Five Lakhs),"70073597 (Seven Crore seventy three thousands Nine
Hundred and Fifty Seven)","166312 (One Lakh Sixty Six Thousands Three Hundred and
Twelve)","2699749 (Twenty Six Lakhs Ninety Nine thousands Seven
Hundred and Fourty Nine)",0 (Zero),1500000 (Fifteen Lakhs),"50221573 (Fifty crore Two Lakhs Twenty one thousands five
hundred and Seventy three)",172300 (One Lakhs Seventy Two thousand Three hundred),"2060216 (Twnty Lakhs Sixty thousands Two Hundred and
Sixteen)",0 (Zero),1000000 (Ten Lakhs),"9047581 (Ninety Lakhs Fourty seven Thousands Five Hundred
and Eighty Seven)","102781652 (Ten Crore Twenty seven Lakhs Eight one
thousands six hundred and Fifty Two)","73932308 (Seven Crore Thirty Nine Lakhs Thirty two
thousands three hundred and Eight)","4291920 (Fourty Two Lakhs Ninety One Thousands Nine
Hundred and Twenty)","71848001 (Seven crore Eighteen Lakhs Fourty Eight
thousands and One)","42989416 (Four crore Twenty nine lakhs eighty nine thousands
four hundred and sixteen)","1939770 (Ninety Lakhs Thity Nine Thousands Seven Hundred
and Seventy)","37754600 (Three crore Seventy Seven Lakhs Fifty Four
thousands Six hundred)","18510353 (One crore EIghty five lakhs tenthousand three
hundred and fifty three)","870706 (Eight Lakhs Seventy Thousands Seven Hundred and
Six)"
"Iiit, Nagpur Nirf Engineering 2025","581560 (Five Lakh Eighty One Thousand Five Hundred and
Sixty)","38615667 (Three Crore Eighty Six Lakh Fifteen Thousand Six
Hundred and Sixty Seven)",0 (Zero),,"4699110 (Fourty Six Lakh Ninety Nine Thousand One Hundred
and Ten)","349535 (Three Lakh Forty Nine Thousand Five Hundred Thirty
Five )","17814775 (One Crore Seventy Eight Lakh Fourteen Thousand
Seven Hundred Seventy Five )",0 (Zero),,"9191856 (Ninety One Lakh Ninety One Thousand Eight
Hundred Fifty Six )",1000424 (Ten Lakh Four Hundred Twenty Four),"55119320 (Five Crore Fifty One Lakh Nineteen Thousand
Three Hundred Twenty)",0 (Zero),,"21641418 (Two Crore Sixteen Lakh Forty One Thousand Four
Hundred Eighteen)","129134770 (Twelve Crore Ninety One Lakh Thirty Four
Thousand Seven Hundred and Seventy)","11006132 (One Crore Ten Lakh Six Thousand One Hundred
and Thirty Two)","161385 (One Lakh Sixty One Thousand Three Hundred and
Eighty Five)","91166570 (Nine Crore Eleven Lakh Sixty Six Thousand Five
Hundred Seventy)","6067152 (Sixty Lakh Sixty Seven Thousand One Hundred Fifty
Two )",94080 (Ninety Four Thousand Eighty ),"55707374 (Five Crore Fifty Seven Lakh Seven Thousand
Three Hundred Seventy Four)","121643593 (Twelve Crore Sixteen Lakh Forty Three Thousand
Five Hundred Ninety Three )",11120 (Eleven Thousand One Hundred Twenty)
"Iiit, Ranchi Overall 2025","1164980 (Eleven Lakh Sixty Four Thousand Nine Hundred
Eighty)","11210668 (One Crore Twelve Lakh Ten Thousand Six
Hundred Sixty Eight)",0 (Zero),0 (Zero),"51737625 (Five Crore Seventeen Lakh Thirty Seven Thousand
Six Hundred Twenty Five)",478457 (Four Lakh Seventy Eight Thousand Fifty Seven),"12388357 (One Crore Twenty Three Lakh Eighty Eight
Thousand Three Fifty Seven)",0 (Zero),0 (Zero),"31953741 (Three Crore Nineteen Lakh Fifty Three Thousand
Seven Hundred Fourty One)",615159 (Six Lakh Fifteen Thousand One Hundred Fifty Nine),"13731691 (One Crore Thirty Seven Lakh Thirty One Thousand
Six Hundred Ninety One)",0 (Zero),0 (Zero),"23929742 (Two Crore Thirty Nine Lakh Twenty Nine Thousand
Seven Hundred Fourty Two)","81996735 (Eight Crore Nineteen Lakh Ninety Six Thousand
Seven Hundred Thirty Five)","87693357 (Eight Crore Seventy Six Lakh Ninety Three
Thousand Three Hundred Fifty Seven)",66037 (Sixty Six Thousand Thirty Seven),"41922944 (Four Crore Nineteen Lakh Twenty Two Thousand
Nine Hundred Fourty Four)","66629750 (Six Crore Sixty Six Lakh Twenty Nine Thousand
Seven Hundred Fifty)",563710 (Five Lakh Sixty Three Thousand Seven Hundred Ten),"25514543 (Two Crore Fifty Five Lakh Fourteen Thousand Five
Hundred Fourty Three)","37145818 (Three Crore Seventy One Lakh Fourty Five
Thousand Eight Hundred Eighteen)",0 (Zero)
