0,1,2,3
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.),,,
,,Total Students,
Full Time,,3586,
Part Time,,483,
No. of Ph.D students graduated (including Integrated Ph.D),,,
,2023-24,2022-23,2021-22
Full Time,458,388,424
Part Time,40,32,26
PG (Student pursuing MD/MS/DNB program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here),,,
Number of students pursuing PG (MD/MS/DNB) program,,,0
No. of students Graduating in PG (MD/MS/DNB) program,,,
2023-24,2022-23,2021-22,
0,0,0,
