Description,Value
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - Total Students - Full Time,3586
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - Total Students - Part Time,483
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2023-24 - Full Time,458
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2023-24 - Part Time,40
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2022-23 - Full Time,388
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2022-23 - Part Time,32
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2021-22 - Full Time,424
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.) - No. of Ph.D students graduated (including Integrated Ph.D) - 2021-22 - Part Time,26
PG (Student pursuing MD/MS/DNB program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here) - Number of students pursuing PG (MD/MS/DNB) program,0
PG (Student pursuing MD/MS/DNB program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here) - No. of students Graduating in PG (MD/MS/DNB) program - 2023-24,0
PG (Student pursuing MD/MS/DNB program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here) - No. of students Graduating in PG (MD/MS/DNB) program - 2022-23,0
PG (Student pursuing MD/MS/DNB program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here) - No. of students Graduating in PG (MD/MS/DNB) program - 2021-22,0
