College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
"Iiit Design & Manufacturing, Jabalpur Nirf Overall 2025",32443988,7755369,417499,48008322,3515257,16620026,17948008,4804264,0,68372779,16063553,14353031,953291,0,35283740,28508366,270738350,2045994,308211604,261275793,3875372,234986459,206099666,3131108
Iiit Pune Engineering 2025,16149,88500,0,,493607,0,0,0,,14685537,0,415391,0,,949187,43619029,96947263,0,39977295,74874265,0,24136665,13497689,484026
"Iiit, Design & Manufacturing, Kurnool Nirf Overall 2025",3625608,49110981,27343607,0,1593925,3105146,31705713,14181275,410235,21028795,2698153,19034856,4437909,591704,11612173,99073279,126689468,5562840,84721804,26466096,666566,65682989,11048975,80385
"Iiit, Guwahati Nirf Engineering 2025",2148844,3006205,0,0,3561696,901670,1932144,0,0,1913062,25637,616536,0,0,355596,153321982,36107526,0,136691031,13163737,958819,117848083,9369613,0
"Iiit, Kalyani Nirf Engineering 2025",5675,1932858,0,,217431433,23842,1455886,0,,3029671,5852,469096,0,,0,65113099,19338672,0,52325360,4340226,0,42789050,2276000,0
"Iiit, Kota Nirf Overall 2025",29415,36374296,463909,0,13386181,270311,123173,1187200,0,50999,94760,109480,247856,0,372020,32174276,47845849,482567,35138987,7424629,3166741,28535236,10234499,715523
"Iiit, Kancheepuram Engineering Nirf 2025",4545617,104338105,0,,18514395,9895645,77469835,0,,16251041,9987575,33646154,0,,7629250,230526981,133611028,1919365,202148835,146406078,2499524,162262000,103200000,380199
"Iiit, Kottayam Nirf Overall 2025",2619296,5725862,0,2500000,70073597,166312,2699749,0,1500000,50221573,172300,2060216,0,1000000,9047581,102781652,73932308,4291920,71848001,42989416,1939770,37754600,18510353,870706
"Iiit, Nagpur Nirf Engineering 2025",581560,38615667,0,,4699110,349535,17814775,0,,9191856,1000424,55119320,0,,21641418,129134770,11006132,161385,91166570,6067152,94080,55707374,121643593,11120
"Iiit, Ranchi Overall 2025",1164980,11210668,0,0,51737625,478457,12388357,0,0,31953741,615159,13731691,0,0,23929742,81996735,87693357,66037,41922944,66629750,563710,25514543,37145818,0
"Iiit, Surat Nirf Overall 2025",134969,287992,1024935,0,6661436,121213,3332659,425366,0,19738955,103529,1361333,6788,0,311385,42841970,370049,8496,33148452,146386,0,24880005,73917,0
"Iiit, Una Nirf Engineering 2025",3434401,6975202,0,,7816632,2521190,17875273,0,,18907970,0,796218,0,,0,69413658,38642384,647245,58126547,15623674,338431,46633227,6430175,118159
"Iiit, Vadodara Nirf Engineering 2025",2143642,32092,0,,8787607,820190,0,0,,3589404,1759756,0,0,,3332019,69969449,597888,60328,50134804,508179,248008,59398760,676669,265978
"Iiit,Allahabad Nirf Engineering 2025",21890000,20253000,0,,22112000,18098000,17833000,0,,18174000,17363000,11847000,0,,10587000,386948000,129349000,7600112,335629000,104629000,5485695,311018183,113194000,3168098
"Iiit,Dharwad Nirf Overall 2025",1378574,4143833,2333855,0,2525260,105483,13186918,386385,0,0,65022,6326195,4934167,0,0,67744589,86402860,780118,66141336,74470324,1032761,56093443,21947020,30470
