College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Iit Bhubaneswar Nirf Engineering 2025,58806327,83581192,2198894,26291158,51297728,65953715,84957225,19118290,77337956,49849095,96036283,73151007,22133973,10095880,44266661,777904322,820515583,14004776,581795856,560022071,7116896,481787058,489765903,3978935
Iit Bhilai Nirf Overall 2025,25411092,513950483,71825405,0,2255062639,24674941,371247590,71129164,0,6374110895,20114426,135743724,18859967,0,2488161963,354385567,267955372,35679752,240135927,123923177,5139631,223044425,101662874,8000000
Iit Bombay Nirf Engineering 2025,177105628,2817100804,0,0,96499509,60655438,3091659479,82044432,0,173684513,395211540,859086724,99980000,0,80795586,8523975101,4688514494,247557830,6581612412,3380913236,22683371,6070571682,2978397843,9177625
Iit Chennai Nirf Overall 2025,298830979,4977872845,15221031,15922736,854156496,191765768,5114315121,35946386,7825561,850240751,232093405,4475051053,16830244,53944831,1066955804,6770455954,9997419009,128805662,5424786320,8669739543,151561504,6565874098,7557097089,108400586
Iit Delhi Nirf Engineering 2025,187600000,2642131575,5271461,3490210,131400000,187521973,2615655221,2429151,2124700,2857555221,191213021,2374297516,44456874,43928631,1476113707,7095220673,3426681450,208733379,6929719466,3957679475,183435548,3991424049,3710748858,4904145
Iit Dharwad Nirf Engineering 2025,49871820,368395935,2865058,,430534684,2030499,66387287,9146560,,7712328,26177635,23039441,9589546,,12974707,356859562,292806819,5980923,213163355,92315806,674258,176862332,66968117,510025
Iit Gandhinagar Nirf Engineering 2025,66119918,199890174,6185036,,28334309,31339902,216414304,1787382,,13052790,25595838,362655942,9813209,,16597999,896246515,847764679,32598864,790641159,563015438,44785268,668378143,628568958,5639232
Iit Goa Nirf Engineering 2025,2292595,50784525,785670,,5246854,47892616,104971898,8864119,,6691545,13537874,123802181,6024316,,2850916,179911036,161205165,6369794,163913416,160209560,3595861,148333682,133269698,1424595
Iit Guwahati Nirf Engineering 2025,144888953,511768358,24626782,0,494657138,212549726,570399409,15231760,0,678150953,122976870,317904320,14081657,0,689764913,1987664697,1323045038,55123615,1835256296,1026826502,85410030,1748454897,810328532,12338782
Iit Hyderabad Nirf Engineering 2025,28995305,337408737,0,0,400422417,54273351,354297902,0,0,222495370,35657429,360785745,600000,70092,135612446,1450713808,1398202506,62064882,2044754274,1122709987,38926352,1745821591,754647920,2433745
Iit Indore Nirf Engineering 2025,55235239,177000729,36349590,0,57909848,47193543,259181099,1202619,0,91974617,33385164,112076792,0,0,54747127,822579933,724344355,30840722,667850076,569258068,24535200,558261242,439197669,8881716
Iit Jammu Nirf Engineering 2025,42047099,345120335,10366864,,290120830,38207541,198997546,42796235,,2066394069,34306591,78517422,151458514,,90941656,460859793,414394583,14574525,353441764,426639422,4062592,306130283,191666244,2302790
Iit Jodhpur Nirf Engineering 2025,86170909,610190453,1978328,8556183,195527316,109871530,365488037,917395,9336136,385635193,31578203,396024778,17230645,205250,165797521,1174417450,1954921058,20118872,778949563,1496975993,22484069,591593878,1063070705,1648564
Iit Kanpur Nirf Engineering 2025,203000000,1103442000,123000000,10267000,157700000,202200000,1096200000,120140000,6113000,150260000,184609000,640307900,107318500,5674000,137621500,4081234700,5341217000,55900000,3543190000,4670560000,52180000,3183924000,3967440000,47800000
Iit Kharagpur Nirf Engineering 2025,247696823,1613101450,0,23090103,316335763,256500000,761461375,0,2300000,648459019,189496133,543377993,3374185,3882469,219791746,6099113711,4562045544,163201110,7134146302,2482172231,67110522,6367568115,3237288905,23457891
Iit Mandi Nirf Engineering 2025,72507108,107640688,145737145,22864463,71658477,70004195,89947259,70111888,3744375,70457332,35101891,37610048,46767696,387553,27833959,628458192,1535480911,7569965,503949111,1184099998,2653847,400687047,553386093,1034001
Iit Palakkad Nirf Overall 2025,53591660,116563472,24645900,0,101819519,44024355,70755812,75977529,0,72929013,42362426,78373090,98300625,0,48083518,409972097,126768023,13486836,337009280,109176495,8710362,276935777,84436029,3513969
Iit Patna Nirf Engineering 2025,121605650,337272917,21676092,0,124005462,126432017,713805099,17430742,0,123539258,96756610,329329209,10872944,0,89163954,662210115,776352724,38997493,562171509,573194133,20723857,466680578,472562854,14033011
Iit Roorkee Nirf Engineering 2025,276631841,1124364915,128418129,7829444,876060170,154362057,793642966,12625688,202952,507825017,265750001,781519626,17442828,494000,328517202,4331714168,1604825569,141753089,3907376482,1409765421,95008795,3388274784,1194098948,16575462
Iit Ropar Nirf Engineering 2025,59215538,317943911,5179903,0,764043847,75746137,213322815,2268087,0,12459316,39879613,175879552,9914230,0,19760201,728115550,692570430,65840101,672720230,777227956,50874389,592137411,607049468,13349937
Iit Tirupati Nirf Engineering 2025,43213105,761033986,1364064,,906306869,45049803,387810044,1912856,,127113414,41283431,108143703,909899,,67503265,519711016,444749580,10092690,406473898,270327094,3458992,341974384,233476680,1572824
Iit Varanasi Nirf Engineering 2025,33059889,519202989,12639361,0,99874512,90573233,301637795,15429016,0,151940732,83885967,147678327,26504291,2691003,82909537,2190139688,1537627120,42421440,2087636535,1636481738,23570324,1727284473,1335296684,6624328
Indian Institute Of Science Banglore Nirf Overall 2025,218534218,1683221699,85203873,4506958,1066659982,202533939,1299078359,93480412,0,820174201,338527338,1453587730,32057107,2368699,728618225,5010997865,2940760709,79780324,5136049939,1828614204,39993362,4102153668,1250256552,3626240
Indian Institute Of Technology Dhanbad Nirf Engineering 2025,86900300,203212190,3705514,,133980866,79785921,423338548,1243910,,97273747,108122599,306142110,189722,,138188357,1980321612,1531827189,33203365,1710510938,942376807,20185709,1535808218,890268162,9972172
