College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Dr. B.R. Ambedkar Nit Jalandhar Nirf Engineering 2025,25470848,46033470,1233726,,365337010,32320345,62608921,937514,,64803488,30328469,64923148,958749,,13103429,1040001873,561357360,4405930,1017832091,266888715,3428035,753824026,327937598,2197815
Malaviya Nit Nirf Overall 2025,41769208,144640332,5608988,2647100,157768265,44422715,194057394,0,492000,54480323,22127897,18038747,0,0,19390781,1115926229,648184814,10590418,1025257809,393252055,8379698,988181636,399877947,4030327
Maulana Azad Nit Nirf Overall 2025,42570792,68312206,223359599,247664,207706270,18364088,17935738,49328653,857688,105907735,53622727,28914883,93839064,1567728,191785583,1201870764,597115418,8541704,1062894552,621541196,10598622,994062202,168423545,3647494
Motilal Nehru Nit Nirf Overall 2025,40117830,62087891,1199504,0,64367666,84493600,51498989,1075334,0,144187795,58842750,39590170,902613,299642,377894677,1086305265,951302532,6348126,1090861681,1085425738,9399625,890400832,747488659,7371741
Nit Agartala Nirf Engineering 2025,17571732,6496839,21093466,,926462,24956,6663000,2725000,,1023000,12930,230833000,3009000,,15342000,524295509,465028132,387633,537084000,5704190000,413000,428675000,362147000,5000
Nit Andhra Pradesh Nirf Overall 2025,5972282,70626525,13451334,0,80052084,672738,17435066,2981687,0,29010403,881433,17427449,2328600,0,0,165359215,133194740,2065950,200008989,61378251,235618,110460550,7286334,469500
Nit Arunachal Pradesh Nirf Overall 2025,15800925,118837300,26697160,642996,241132249,9231332,172182562,94081011,443973,205532921,8536825,123100000,61992630,4235385,52300000,239842565,335340011,18415995,183883666,147666344,21012959,199617303,24117607,16935372
Nit Calicut Nirf Overall 2025,76443532,400907837,21845275,2934343,419475391,66466009,244789093,15664244,2584600,132301127,7724315,215549653,9019423,1785350,162225830,2244927551,1036721232,29890930,1575663478,1195881716,32017052,1316892468,701356515,24777649
Nit Delhi Nirf Engineering 2025,29271765,143187034,2907785,,808259596,10912400,58717915,1609934,,196961986,11279465,2218400,0,,20191987,256274260,526810598,1271070,249488618,202135308,292167,175378257,193278798,256116
Nit Durgapur Nirf Overall 2025,104709673,34653626,0,0,5175023,102063587,90244980,0,0,50204938,64127625,52083144,1250000,0,44522568,1346277937,336276063,1134096,1132043313,389765365,846724,1098033571,409227504,2044770
Nit Goa Nirf Overall 2025,6150182,7197733,20453287,0,2444722,0,10012458,2287014,0,2585169,355205,3228743,3139626,0,6370189,180662416,202994209,2672658,176203803,167017993,277155,154089828,83816566,480986
Nit Hamirpur Nirf Overall 2025,52657284,80737711,8776791,838000,8851792,14428468,102803753,145265,0,6643661,22499446,70237516,63728,0,11049227,616240748,433089347,2202405,556319830,402463608,1422711,545408742,408350335,1388776
Nit Jamshedpur Nirf Engineering 2025,64619296,37165334,7808673,,117932029,26960364,40039505,15642801,,205437744,16159011,32702870,10276185,,116807266,892977412,470807984,16800642,740051982,325776674,6575955,654305850,270257352,2872735
Nit Kurukshetra Nirf Overall 2025,34026000,22806000,20127000,0,96807000,36730573,21739204,30369437,0,128420884,30389473,144113742,57134465,0,2307912,1048784000,358315000,14524000,1035470000,382870000,19994914,990442000,386617000,3845000
Nit Manipur Nirf Engineering 2025,,,,,,,,,,,,,,,,,,,,,,,,
Nit Meghalaya Nirf Overall 2025,24124587,39496932,3470187,0,99441194,16861743,142778633,99515262,0,81677607,14376948,132653331,4094541,0,30480857,292798170,73692129,7729632,217245251,59528568,2642184,217748440,45566401,56500
Nit Mizoram Nirf Overall 2025,3379798,44674740,25401272,0,41775509,1113893,19013733,22145315,0,83566902,15724235,28254698,6285972,0,1837541,128551647,147501531,8503584,105437616,100763863,3911645,81960191,61191591,2380341
Nit Nagaland Nirf Engineering 2025,713500,24636968,1950665,,278620267,371980,11876866,2712375,,18522411,2351962,243558602,3820586,,12914298,117888587,178302688,2311349,90926484,172245369,2712077,90039693,89244884,1902515
